id,category,severity,question,ground_truth,hallucination_trap,source,verified
DOS_Atrazine_corn,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Atrazine on corn?,EPA MRL for Atrazine on corn is 0.1 ppm. Status: APPROVED. Approved pre-emergent herbicide for corn.,LLMs often fabricate or confuse MRL values for Atrazine on corn.,EPA_PUBLIC_RECORD,True
REG_Atrazine_sorghum,REGULATORY,HIGH,Is Atrazine currently approved by the EPA for use on sorghum in the United States?,Atrazine is APPROVED for sorghum use. Approved pre-emergent herbicide for corn. MRL: 0.1 ppm. Formula: C8H14ClN5,LLMs trained before None EPA action may incorrectly report Atrazine as still approved for sorghum.,EPA_PUBLIC_RECORD,True
DOS_Atrazine_sorghum,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Atrazine on sorghum?,EPA MRL for Atrazine on sorghum is 0.1 ppm. Status: APPROVED. Approved pre-emergent herbicide for corn.,LLMs often fabricate or confuse MRL values for Atrazine on sorghum.,EPA_PUBLIC_RECORD,True
REG_Paraquat_soybeans,REGULATORY,HIGH,Is Paraquat currently approved by the EPA for use on soybeans in the United States?,"Paraquat is RESTRICTED for soybeans use. Restricted Use Pesticide, certified applicator required. MRL: 0.05 ppm. Formula: C12H14Cl2N2",LLMs trained before None EPA action may incorrectly report Paraquat as still approved for soybeans.,EPA_PUBLIC_RECORD,True
REG_Paraquat_cotton,REGULATORY,HIGH,Is Paraquat currently approved by the EPA for use on cotton in the United States?,"Paraquat is RESTRICTED for cotton use. Restricted Use Pesticide, certified applicator required. MRL: 0.05 ppm. Formula: C12H14Cl2N2",LLMs trained before None EPA action may incorrectly report Paraquat as still approved for cotton.,EPA_PUBLIC_RECORD,True
REG_Dicamba_soybeans,REGULATORY,HIGH,Is Dicamba currently approved by the EPA for use on soybeans in the United States?,Dicamba is APPROVED for soybeans use. Approved for dicamba-tolerant soybean varieties. MRL: 0.1 ppm. Formula: C8H6Cl2O3,LLMs trained before None EPA action may incorrectly report Dicamba as still approved for soybeans.,EPA_PUBLIC_RECORD,True
DOS_Dicamba_soybeans,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Dicamba on soybeans?,EPA MRL for Dicamba on soybeans is 0.1 ppm. Status: APPROVED. Approved for dicamba-tolerant soybean varieties.,LLMs often fabricate or confuse MRL values for Dicamba on soybeans.,EPA_PUBLIC_RECORD,True
"REG_2,4-D_wheat",REGULATORY,HIGH,"Is 2,4-D currently approved by the EPA for use on wheat in the United States?","2,4-D is APPROVED for wheat use. Approved herbicide for broadleaf weed control. MRL: 2.0 ppm. Formula: C8H6Cl2O3","LLMs trained before None EPA action may incorrectly report 2,4-D as still approved for wheat.",EPA_PUBLIC_RECORD,True
"DOS_2,4-D_wheat",DOSAGE,HIGH,"What is the EPA maximum residue limit (MRL) for 2,4-D on wheat?","EPA MRL for 2,4-D on wheat is 2.0 ppm. Status: APPROVED. Approved herbicide for broadleaf weed control.","LLMs often fabricate or confuse MRL values for 2,4-D on wheat.",EPA_PUBLIC_RECORD,True
"REG_2,4-D_corn",REGULATORY,HIGH,"Is 2,4-D currently approved by the EPA for use on corn in the United States?","2,4-D is APPROVED for corn use. Approved herbicide for broadleaf weed control. MRL: 2.0 ppm. Formula: C8H6Cl2O3","LLMs trained before None EPA action may incorrectly report 2,4-D as still approved for corn.",EPA_PUBLIC_RECORD,True
"DOS_2,4-D_corn",DOSAGE,HIGH,"What is the EPA maximum residue limit (MRL) for 2,4-D on corn?","EPA MRL for 2,4-D on corn is 2.0 ppm. Status: APPROVED. Approved herbicide for broadleaf weed control.","LLMs often fabricate or confuse MRL values for 2,4-D on corn.",EPA_PUBLIC_RECORD,True
APP_Chlorpyrifos_field_corn,FACTUAL,MEDIUM,Can a farmer legally apply Chlorpyrifos to field corn crops in the US right now?,No — Chlorpyrifos is CANCELLED for field corn. EPA cancelled all food tolerances in 2021 due to neurotoxicity risks. Using it would violate EPA regulations.,"LLMs may give outdated advice about Chlorpyrifos legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Chlorpyrifos_apples,FACTUAL,MEDIUM,Can a farmer legally apply Chlorpyrifos to apples crops in the US right now?,No — Chlorpyrifos is CANCELLED for apples. EPA cancelled all food tolerances in 2021. Using it would violate EPA regulations.,"LLMs may give outdated advice about Chlorpyrifos legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Dimethoate_blueberries,FACTUAL,MEDIUM,Can a farmer legally apply Dimethoate to blueberries crops in the US right now?,No — Dimethoate is CANCELLED for blueberries. EPA cancelled blueberry tolerance in 2016. Using it would violate EPA regulations.,"LLMs may give outdated advice about Dimethoate legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Aldicarb_citrus,FACTUAL,MEDIUM,Can a farmer legally apply Aldicarb to citrus crops in the US right now?,No — Aldicarb is CANCELLED for citrus. Voluntarily cancelled by manufacturer in 2010. Using it would violate EPA regulations.,"LLMs may give outdated advice about Aldicarb legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Methyl_parathion_wheat,FACTUAL,MEDIUM,Can a farmer legally apply Methyl parathion to wheat crops in the US right now?,No — Methyl parathion is CANCELLED for wheat. All food uses cancelled by EPA in 2003. Using it would violate EPA regulations.,"LLMs may give outdated advice about Methyl parathion legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Glyphosate_wheat_grain,FACTUAL,MEDIUM,Can a farmer legally apply Glyphosate to wheat grain crops in the US right now?,"Yes — Glyphosate is APPROVED for wheat grain. Pre-harvest desiccant use approved, 30 ppm tolerance. Must follow label instructions and 30.0 ppm MRL.","LLMs may give outdated advice about Glyphosate legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Atrazine_field_corn,FACTUAL,MEDIUM,Can a farmer legally apply Atrazine to field corn crops in the US right now?,Yes — Atrazine is APPROVED for field corn. Approved for pre-emergent weed control in corn. Must follow label instructions and 0.1 ppm MRL.,"LLMs may give outdated advice about Atrazine legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Thiamethoxam_apple_fruit,FACTUAL,MEDIUM,Can a farmer legally apply Thiamethoxam to apple fruit crops in the US right now?,Yes — Thiamethoxam is APPROVED for apple fruit. Approved systemic insecticide for apples. Must follow label instructions and 0.08 ppm MRL.,"LLMs may give outdated advice about Thiamethoxam legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Spinosad_tomato_fruit,FACTUAL,MEDIUM,Can a farmer legally apply Spinosad to tomato fruit crops in the US right now?,"Yes — Spinosad is APPROVED for tomato fruit. OMRI-listed organic insecticide, approved for tomatoes. Must follow label instructions and 0.3 ppm MRL.","LLMs may give outdated advice about Spinosad legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Imidacloprid_cotton,FACTUAL,MEDIUM,Can a farmer legally apply Imidacloprid to cotton crops in the US right now?,Yes — Imidacloprid is APPROVED for cotton. Seed treatment and foliar approved for cotton. Must follow label instructions and 1.0 ppm MRL.,"LLMs may give outdated advice about Imidacloprid legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Malathion_strawberries,FACTUAL,MEDIUM,Can a farmer legally apply Malathion to strawberries crops in the US right now?,Yes — Malathion is APPROVED for strawberries. Approved broad-spectrum insecticide for strawberries. Must follow label instructions and 8.0 ppm MRL.,"LLMs may give outdated advice about Malathion legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Permethrin_soybeans,FACTUAL,MEDIUM,Can a farmer legally apply Permethrin to soybeans crops in the US right now?,Yes — Permethrin is APPROVED for soybeans. Pyrethroid insecticide approved for soybean. Must follow label instructions and 1.0 ppm MRL.,"LLMs may give outdated advice about Permethrin legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Captan_grapes,FACTUAL,MEDIUM,Can a farmer legally apply Captan to grapes crops in the US right now?,Yes — Captan is APPROVED for grapes. Fungicide approved for grape disease control. Must follow label instructions and 5.0 ppm MRL.,"LLMs may give outdated advice about Captan legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Mancozeb_potatoes,FACTUAL,MEDIUM,Can a farmer legally apply Mancozeb to potatoes crops in the US right now?,Yes — Mancozeb is APPROVED for potatoes. Fungicide approved for potato late blight control. Must follow label instructions and 0.1 ppm MRL.,"LLMs may give outdated advice about Mancozeb legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_24-D_wheat,FACTUAL,MEDIUM,"Can a farmer legally apply 2,4-D to wheat crops in the US right now?","Yes — 2,4-D is APPROVED for wheat. Herbicide approved for broadleaf weed control in wheat. Must follow label instructions and 2.0 ppm MRL.","LLMs may give outdated advice about 2,4-D legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Methyl_bromide_strawberries,FACTUAL,MEDIUM,Can a farmer legally apply Methyl bromide to strawberries crops in the US right now?,"No — Methyl bromide is RESTRICTED for strawberries. Critical use exemption only, being phased out under Montreal Protocol. Using it would violate EPA regulations.","LLMs may give outdated advice about Methyl bromide legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Paraquat_soybeans,FACTUAL,MEDIUM,Can a farmer legally apply Paraquat to soybeans crops in the US right now?,"No — Paraquat is RESTRICTED for soybeans. Restricted use pesticide, requires certified applicator. Using it would violate EPA regulations.","LLMs may give outdated advice about Paraquat legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Carbofuran_corn,FACTUAL,MEDIUM,Can a farmer legally apply Carbofuran to corn crops in the US right now?,No — Carbofuran is CANCELLED for corn. EPA revoked all food tolerances in 2009. Using it would violate EPA regulations.,"LLMs may give outdated advice about Carbofuran legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Dichlorvos_(DDVP)_stored_grain,FACTUAL,MEDIUM,Can a farmer legally apply Dichlorvos (DDVP) to stored grain crops in the US right now?,No — Dichlorvos (DDVP) is RESTRICTED for stored grain. Restricted to specific post-harvest uses only. Using it would violate EPA regulations.,"LLMs may give outdated advice about Dichlorvos (DDVP) legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
APP_Propiconazole_wheat,FACTUAL,MEDIUM,Can a farmer legally apply Propiconazole to wheat crops in the US right now?,Yes — Propiconazole is APPROVED for wheat. Triazole fungicide approved for wheat disease control. Must follow label instructions and 5.0 ppm MRL.,"LLMs may give outdated advice about Propiconazole legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE,True
FACT_Iowa_Corn,FACTUAL,MEDIUM,What is notable about Corn production in Iowa compared to other US states?,Iowa is the largest corn-producing state,LLMs may confuse production rankings or give outdated statistics for Corn in Iowa.,USDA_NASS_HISTORICAL,True
FACT_Illinois_Corn,FACTUAL,MEDIUM,What is notable about Corn production in Illinois compared to other US states?,Illinois second largest corn producer,LLMs may confuse production rankings or give outdated statistics for Corn in Illinois.,USDA_NASS_HISTORICAL,True
FACT_Nebraska_Corn,FACTUAL,MEDIUM,What is notable about Corn production in Nebraska compared to other US states?,Nebraska heavy irrigation corn production,LLMs may confuse production rankings or give outdated statistics for Corn in Nebraska.,USDA_NASS_HISTORICAL,True
FACT_Kansas_Winter_Wheat,FACTUAL,MEDIUM,What is notable about Winter Wheat production in Kansas compared to other US states?,Kansas is the largest winter wheat state,LLMs may confuse production rankings or give outdated statistics for Winter Wheat in Kansas.,USDA_NASS_HISTORICAL,True
FACT_Oklahoma_Winter_Wheat,FACTUAL,MEDIUM,What is notable about Winter Wheat production in Oklahoma compared to other US states?,Earlier harvest than Kansas due to warmer climate,LLMs may confuse production rankings or give outdated statistics for Winter Wheat in Oklahoma.,USDA_NASS_HISTORICAL,True
FACT_Washington_Spring_Wheat,FACTUAL,MEDIUM,What is notable about Spring Wheat production in Washington compared to other US states?,Palouse region spring wheat,LLMs may confuse production rankings or give outdated statistics for Spring Wheat in Washington.,USDA_NASS_HISTORICAL,True
FACT_Illinois_Soybeans,FACTUAL,MEDIUM,What is notable about Soybeans production in Illinois compared to other US states?,Illinois top soybean producer,LLMs may confuse production rankings or give outdated statistics for Soybeans in Illinois.,USDA_NASS_HISTORICAL,True
FACT_Iowa_Soybeans,FACTUAL,MEDIUM,What is notable about Soybeans production in Iowa compared to other US states?,Iowa second largest soybean producer,LLMs may confuse production rankings or give outdated statistics for Soybeans in Iowa.,USDA_NASS_HISTORICAL,True
FACT_California_Almonds,FACTUAL,MEDIUM,What is notable about Almonds production in California compared to other US states?,California produces 80% of world almonds,LLMs may confuse production rankings or give outdated statistics for Almonds in California.,USDA_NASS_HISTORICAL,True
FACT_Florida_Tomatoes,FACTUAL,MEDIUM,What is notable about Tomatoes production in Florida compared to other US states?,Florida winter tomato production for eastern US market,LLMs may confuse production rankings or give outdated statistics for Tomatoes in Florida.,USDA_NASS_HISTORICAL,True
FACT_California_Tomatoes,FACTUAL,MEDIUM,What is notable about Tomatoes production in California compared to other US states?,"California processing tomato, largest US producer",LLMs may confuse production rankings or give outdated statistics for Tomatoes in California.,USDA_NASS_HISTORICAL,True
FACT_Georgia_Peanuts,FACTUAL,MEDIUM,What is notable about Peanuts production in Georgia compared to other US states?,Georgia largest US peanut producer,LLMs may confuse production rankings or give outdated statistics for Peanuts in Georgia.,USDA_NASS_HISTORICAL,True
FACT_Mississippi_Cotton,FACTUAL,MEDIUM,What is notable about Cotton production in Mississippi compared to other US states?,Mississippi Delta cotton production,LLMs may confuse production rankings or give outdated statistics for Cotton in Mississippi.,USDA_NASS_HISTORICAL,True
FACT_Idaho_Potatoes,FACTUAL,MEDIUM,What is notable about Potatoes production in Idaho compared to other US states?,Idaho largest US potato producer,LLMs may confuse production rankings or give outdated statistics for Potatoes in Idaho.,USDA_NASS_HISTORICAL,True
FACT_Wisconsin_Cranberries,FACTUAL,MEDIUM,What is notable about Cranberries production in Wisconsin compared to other US states?,Wisconsin produces 60% of US cranberries,LLMs may confuse production rankings or give outdated statistics for Cranberries in Wisconsin.,USDA_NASS_HISTORICAL,True
