id,category,severity,question,ground_truth,hallucination_trap,source
FACT_California_Almonds,FACTUAL,MEDIUM,What is notable about Almonds production in California compared to other US states?,California produces 80% of world almonds,LLMs may confuse production rankings or give outdated statistics for Almonds in California.,USDA_NASS_HISTORICAL
TEMP_Florida_Tomatoes_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Tomatoes in Florida?,"In Florida, Tomatoes is planted from September to October. Harvest runs December to January. Note: Florida winter tomato production for eastern US market.",LLMs often give national averages instead of Florida-specific windows for Tomatoes.,USDA_NASS_HISTORICAL
TEMP_Florida_Tomatoes_harvest,TEMPORAL,LOW,When does Tomatoes harvest typically occur in Florida?,Tomatoes harvest in Florida runs from December to January. Florida winter tomato production for eastern US market.,LLMs often confuse Tomatoes harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Florida_Tomatoes,FACTUAL,MEDIUM,What is notable about Tomatoes production in Florida compared to other US states?,Florida winter tomato production for eastern US market,LLMs may confuse production rankings or give outdated statistics for Tomatoes in Florida.,USDA_NASS_HISTORICAL
TEMP_California_Tomatoes_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Tomatoes in California?,"In California, Tomatoes is planted from March to May. Harvest runs July to October. Note: California processing tomato, largest US producer.",LLMs often give national averages instead of California-specific windows for Tomatoes.,USDA_NASS_HISTORICAL
TEMP_California_Tomatoes_harvest,TEMPORAL,LOW,When does Tomatoes harvest typically occur in California?,"Tomatoes harvest in California runs from July to October. California processing tomato, largest US producer.",LLMs often confuse Tomatoes harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_California_Tomatoes,FACTUAL,MEDIUM,What is notable about Tomatoes production in California compared to other US states?,"California processing tomato, largest US producer",LLMs may confuse production rankings or give outdated statistics for Tomatoes in California.,USDA_NASS_HISTORICAL
TEMP_Georgia_Peanuts_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Peanuts in Georgia?,"In Georgia, Peanuts is planted from mid April to mid May. Harvest runs September to October. Note: Georgia largest US peanut producer.",LLMs often give national averages instead of Georgia-specific windows for Peanuts.,USDA_NASS_HISTORICAL
TEMP_Georgia_Peanuts_harvest,TEMPORAL,LOW,When does Peanuts harvest typically occur in Georgia?,Peanuts harvest in Georgia runs from September to October. Georgia largest US peanut producer.,LLMs often confuse Peanuts harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Georgia_Peanuts,FACTUAL,MEDIUM,What is notable about Peanuts production in Georgia compared to other US states?,Georgia largest US peanut producer,LLMs may confuse production rankings or give outdated statistics for Peanuts in Georgia.,USDA_NASS_HISTORICAL
TEMP_Mississippi_Cotton_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Cotton in Mississippi?,"In Mississippi, Cotton is planted from mid April to mid May. Harvest runs September to November. Note: Mississippi Delta cotton production.",LLMs often give national averages instead of Mississippi-specific windows for Cotton.,USDA_NASS_HISTORICAL
TEMP_Mississippi_Cotton_harvest,TEMPORAL,LOW,When does Cotton harvest typically occur in Mississippi?,Cotton harvest in Mississippi runs from September to November. Mississippi Delta cotton production.,LLMs often confuse Cotton harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Mississippi_Cotton,FACTUAL,MEDIUM,What is notable about Cotton production in Mississippi compared to other US states?,Mississippi Delta cotton production,LLMs may confuse production rankings or give outdated statistics for Cotton in Mississippi.,USDA_NASS_HISTORICAL
TEMP_Idaho_Potatoes_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Potatoes in Idaho?,"In Idaho, Potatoes is planted from April to May. Harvest runs August to October. Note: Idaho largest US potato producer.",LLMs often give national averages instead of Idaho-specific windows for Potatoes.,USDA_NASS_HISTORICAL
TEMP_Idaho_Potatoes_harvest,TEMPORAL,LOW,When does Potatoes harvest typically occur in Idaho?,Potatoes harvest in Idaho runs from August to October. Idaho largest US potato producer.,LLMs often confuse Potatoes harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Idaho_Potatoes,FACTUAL,MEDIUM,What is notable about Potatoes production in Idaho compared to other US states?,Idaho largest US potato producer,LLMs may confuse production rankings or give outdated statistics for Potatoes in Idaho.,USDA_NASS_HISTORICAL
TEMP_Wisconsin_Cranberries_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Cranberries in Wisconsin?,"In Wisconsin, Cranberries is planted from N/A (perennial) to N/A. Harvest runs late September to October. Note: Wisconsin produces 60% of US cranberries.",LLMs often give national averages instead of Wisconsin-specific windows for Cranberries.,USDA_NASS_HISTORICAL
TEMP_Wisconsin_Cranberries_harvest,TEMPORAL,LOW,When does Cranberries harvest typically occur in Wisconsin?,Cranberries harvest in Wisconsin runs from late September to October. Wisconsin produces 60% of US cranberries.,LLMs often confuse Cranberries harvest timing across different states.,USDA_NASS_HISTORICAL
FACT_Wisconsin_Cranberries,FACTUAL,MEDIUM,What is notable about Cranberries production in Wisconsin compared to other US states?,Wisconsin produces 60% of US cranberries,LLMs may confuse production rankings or give outdated statistics for Cranberries in Wisconsin.,USDA_NASS_HISTORICAL
FERT_corn_Iowa_Nitrogen,DOSAGE,HIGH,"What is the recommended Nitrogen application rate for corn in Iowa, and when should it be applied?","For corn in Iowa: Nitrogen rate is 150-200 lbs/acre, applied as split application — pre-plant and side-dress at V6. Important: Excess N causes nitrate leaching into Iowa waterways.",LLMs often give generic national rates instead of Iowa-specific recommendations for corn.,USDA_NRCS_GUIDELINES
FERT_winter_wheat_Kansas_Nitrogen,DOSAGE,HIGH,"What is the recommended Nitrogen application rate for winter wheat in Kansas, and when should it be applied?","For winter wheat in Kansas: Nitrogen rate is 60-90 lbs/acre, applied as fall at planting plus spring topdress. Important: Kansas State recommends soil test before application.",LLMs often give generic national rates instead of Kansas-specific recommendations for winter wheat.,USDA_NRCS_GUIDELINES
FERT_soybeans_Illinois_Phosphorus,DOSAGE,HIGH,"What is the recommended Phosphorus application rate for soybeans in Illinois, and when should it be applied?","For soybeans in Illinois: Phosphorus rate is 40-80 lbs/acre, applied as pre-plant incorporated. Important: Soybeans fix N, so P and K are primary concerns.",LLMs often give generic national rates instead of Illinois-specific recommendations for soybeans.,USDA_NRCS_GUIDELINES
FERT_potatoes_Idaho_Nitrogen,DOSAGE,HIGH,"What is the recommended Nitrogen application rate for potatoes in Idaho, and when should it be applied?","For potatoes in Idaho: Nitrogen rate is 150-250 lbs/acre, applied as split — pre-plant, at emergence, mid-season. Important: Idaho potatoes have high N requirement due to yield goals.",LLMs often give generic national rates instead of Idaho-specific recommendations for potatoes.,USDA_NRCS_GUIDELINES
FERT_cotton_Georgia_Nitrogen,DOSAGE,HIGH,"What is the recommended Nitrogen application rate for cotton in Georgia, and when should it be applied?","For cotton in Georgia: Nitrogen rate is 60-90 lbs/acre, applied as pre-plant plus side-dress at first square. Important: Excess N delays maturity and reduces fiber quality.",LLMs often give generic national rates instead of Georgia-specific recommendations for cotton.,USDA_NRCS_GUIDELINES
